BR4127,BR412 7,False,0,28.56245,-95.54375
BR412A,BR412 A,False,0,28.574104,-95.567398
BR413A,BR413 A,False,0,28.583114,-95.49867
BR415B,BR415 B,False,0,28.584278,-95.417915
BR417A,BR417 A,False,0,28.567038,-95.311722
BR417B,BR417 B,False,0,28.584912,-95.317386
BR417CA,BR417 CAISSON #1,False,0,28.570954,-95.313209
GA389A,GA389 A,False,0,28.601068,-94.978094
GA391A,GA391 A (REMOVED),False,0,28.599198,-95.067865
GA391B,GA391 B,False,0,28.599624,-95.068317
GA393C,GA393 C-VALVE,False,0,28.593836,-95.160601
GA393D,GA393 D,False,0,28.592351,-95.18586
GA394A,GA394 A,False,0,28.599514,-95.224844
GA395A,GA395 A,False,0,28.604436,-95.242431
GA418A,GA418 A,False,0,28.584874,-95.268962
GA420A,GA420 A,False,0,28.581659,-95.167722
GA424A,GA424 A,False,0,28.571955,-94.950565
GAA34A,GAA 34 A,False,0,28.568328,-94.888416
HIA451A,HIA 451 A,False,0,28.372922,-94.329966
HIA462A,HIA 462 A,False,0,28.293943,-94.243497
HIA477A,HIA 477 A,False,0,28.27201,-94.326582
HIA480A,HIA 480 A,False,0,28.286755,-94.478436
HIA486A,HIA 486 A,False,0,28.244239,-94.333322
HIA487A,HIA 487 A,False,0,28.24861,-94.271926
HIA507A,HIA 507 A,False,0,28.178623,-94.558583
HIA508A,HIA 508 A,False,0,28.169117,-94.561276
HIA510B,HIA 510 B,False,0,28.133601,-94.438915
HIA511A,HIA 511 A,False,0,28.131065,-94.390353
HIA69A,HIA 69 A-PIG,False,0,28.827376,-94.239025
HIA833,HIA 83 3,False,0,28.815856,-94.260801
EC1602,EC160 2,False,0,28.937789,-92.739117
EC1603,EC160 3,False,0,28.926844,-92.737789
EC1606,EC160 6,False,0,28.940964,-92.731752
EC160A,EC160 A-AUX,False,0,28.939347,-92.746782
EC161A,EC161 A,False,0,28.948546,-92.724379
EC184A,EC184 A,False,0,28.833683,-92.720562
EC185B,EC185 B,False,0,28.8319,-92.760289
EC1281,EC128 1,False,0,29.058216,-92.628712
EC129A,EC129 A,False,0,29.056851,-92.668606
EC131A,EC131 A,False,0,29.042117,-92.747746
EC144A,EC144 A,False,0,29.032026,-92.676644
EC106A,EC106 A,False,0,29.164561,-92.75074
EC106B,EC106 B,False,0,29.164561,-92.75074
EC109A,EC109 A,False,0,29.174362,-92.620978
EC142CA,EC142 CAIS.#2,False,0,29.017702,-92.757362
EC148A,EC148 A,False,0,28.975089,-92.720599
